"","Rank","Device","MSRP Price","3DMark CPU","16 threads","8 threads","4 threads","2 threads","Single thread","Value for Money","Popularity"
"1",1,"AMD Ryzen Threadripper 7980X",NA,25521,13922,7279,3954,2070,1050,NA,0
"2",2,"AMD Ryzen Threadripper PRO 7995WX",NA,25463,13624,7122,3985,2046,1030,NA,0
"3",3,"AMD Ryzen Threadripper 7970X",NA,21971,13899,7284,4108,2115,1071,NA,0
"4",4,"AMD Ryzen Threadripper PRO 5995WX",NA,20018,11460,5968,3283,1718,865,NA,0
"5",5,"AMD Ryzen Threadripper 7960X",NA,19197,13994,7387,4092,2143,1098,NA,0
"6",6,"AMD Ryzen Threadripper PRO 5975WX",NA,18893,12328,6421,3444,1778,894,NA,0
"7",7,"AMD Ryzen Threadripper 3990X",3990,18265,9959,5205,2731,1391,700,4,0
"8",8,"AMD Ryzen 9 9950X",NA,17448,16527,9339,4979,2547,1296,NA,0.2
"9",9,"AMD Ryzen Threadripper 3970X",1999,16672,10125,5259,2767,1437,725,8,0
"10",10,"Intel Core i9 processor 14900K",589,16598,11792,8899,4830,2446,1233,28,3.5
"11",11,"Intel Core i9-13900KS Processor",699,16568,11709,8857,4765,2417,1229,23,0.5
"12",12,"Intel Core i9 processor 14900KS",NA,16490,11933,9078,4962,2524,1270,NA,0.5
"13",13,"Intel Core i9 processor 14900KF",564,16472,11745,8867,4823,2444,1232,29,1.4
"14",14,"Intel Core i9-13900KF Processor",569,16137,11435,8616,4661,2359,1192,28,1
"15",15,"AMD Ryzen 9 7950X",699,15782,14342,7964,4241,2174,1104,22,1
"16",16,"Intel Core i9 processor 14900",NA,15510,11168,8329,4624,2356,1197,NA,0
"17",17,"Intel Core i7 processor 14700K",409,14690,11357,8551,4651,2357,1183,35,2.2
"18",18,"Intel Core i7 processor 14700KF",NA,14688,11364,8559,4656,2359,1184,NA,1.8
"19",19,"Intel Core i9-13900 Processor",549,14617,10732,8222,4473,2275,1154,26,0
"20",20,"Intel Core i9 processor 14900F",NA,14445,9452,7312,4399,2346,1187,NA,0
"21",21,"AMD Ryzen 9 7950X3D",699,14319,13349,7695,4162,2123,1075,20,2.1
"22",22,"Intel Core i9-13900F Processor",524,14198,10380,7915,4453,2268,1147,27,0
"23",23,"AMD Ryzen Threadripper 3960X",1399,13940,10037,5239,2773,1434,722,9,0
"24",24,"AMD Ryzen 9 7945HX",NA,13846,12978,7426,3997,2073,1064,NA,0.3
"25",25,"AMD Ryzen 9 9900X",NA,13806,12420,9046,4836,2497,1271,NA,0
"26",26,"Intel Core i7 processor 14700",NA,13754,10728,8010,4448,2265,1138,NA,0.1
"27",27,"AMD Ryzen 9 7940HX",NA,13487,12675,7159,3838,1993,1024,NA,0
"28",28,"Intel Core i7 processor 14700F",NA,13158,9977,7691,4429,2264,1137,NA,0.1
"29",29,"AMD Ryzen 9 7945HX3D",NA,12860,12555,7356,3932,2086,1071,NA,0
"30",30,"Intel Core i9 processor 14900HX",NA,12701,9537,7318,4220,2242,1164,NA,0.4
"31",31,"Intel Core i7-13700K Processor",409,12562,10832,8297,4489,2270,1139,30,2.1
"32",32,"Intel Core i7-13700KF Processor",389,12554,10819,8294,4487,2268,1139,32,1.5
"33",33,"Intel Core i9-13980HX Processor",NA,12502,9513,7328,4198,2222,1148,NA,0.5
"34",34,"Intel Core i9-13950HX Processor",NA,12420,9301,7091,4076,2161,1113,NA,0.1
"35",35,"Intel Core i7-13790F Processor",NA,12145,10510,7981,4332,2189,1098,NA,0
"36",36,"Intel Core i9-12900KS Processor",739,12139,10416,7956,4355,2222,1123,16,0.2
"37",37,"Intel Core i7-13700 Processor",NA,11867,10300,7836,4296,2179,1094,NA,0.1
"38",38,"Intel Core i9-12900K Processor",599,11671,9986,7671,4159,2128,1077,19,1
"39",39,"AMD Ryzen 9 5950X",799,11664,10847,6617,3602,1860,946,14,2.1
"40",40,"Intel Core i9-12900KF Processor",569,11625,9928,7624,4151,2124,1075,20,0.3
"41",41,"Intel Core i7-13700F Processor",NA,11582,10090,7717,4294,2180,1094,NA,0.3
"42",42,"AMD Ryzen 9 7900X3D?",NA,11579,10325,7414,4095,2093,1063,NA,0.5
"43",43,"AMD Ryzen 9 7845HX",NA,11279,10192,7241,3868,2011,1033,NA,0.1
"44",44,"AMD Ryzen 9 7900",NA,11106,10141,7496,4003,2070,1074,NA,0.1
"45",45,"AMD Ryzen 9 3950X",749,10742,9291,5298,2802,1442,730,14,0.2
"46",46,"Intel Core i5 processor 14600KF",NA,10608,9775,7385,4465,2256,1128,NA,0.6
"47",47,"Intel Core i9-10980XE Extreme Edition Processor",979,10602,8731,4857,2624,1391,703,10,0.1
